기준예선,배정예선,선박명,From,작업 시작지,작업 종료지,To,실제 스케줄 시작 시각,실제 스케줄 종료 시각,작업까지 이동 거리(km),작업까지 이동 시간(분),작업중 이동 거리(km),작업중 이동 시간(분),도선사,톤수,선종,최종 스케줄 시각,최초 스케줄 시각,최초 작업시작지,최초 작업종료지,최초 예선,최초 도선사,AIS 파일명 target,AIS 파일명 tug
H,"J,H,A,V,명",WESTERN HIGHWAY,연안부두정계지,PAL,53,,2024-06-22T04:22:37.000Z,2024-06-22T04:43:37.000Z,2.6,12.0,2.6,13.0,KB,39422,자동차운반선,2024-06-22T04:00:00.000Z,2024-06-22T04:00:00.000Z,PAL,53,JHAV명,KB,한창1호_WESTERN HIGHWAY_2024-06-22_target_209_aisData.csv,한창1호_WESTERN HIGHWAY_2024-06-22_tug_209_aisData.csv
H,"H,F3,B,V,명",BCH BRAMBERG,연안부두정계지,PAL,20,연안부두정계지,2024-06-22T06:45:36.000Z,2024-06-22T07:33:37.000Z,3.7,18.0,4.5,43.0,CH,36303,산물선(벌크선),2024-06-22T06:00:00.000Z,2024-06-22T06:00:00.000Z,PAL,20,HF3BV명,CH,한창1호_BCH BRAMBERG_2024-06-22_target_210_aisData.csv,한창1호_BCH BRAMBERG_2024-06-22_tug_210_aisData.csv
I,I,MAERSK NINGBO,,HJIT2,NPPS,,2024-06-22T08:46:37.000Z,2024-06-22T09:37:37.000Z,3.5,106.0,0.0,46.0,US,26404,풀컨테이너선,2024-06-22T09:00:00.000Z,2024-06-22T07:00:00.000Z,HJIT2,NPPS,I,KK,쥬피터1호_MAERSK NINGBO_2024-06-22_target_211_aisData.csv,쥬피터1호_MAERSK NINGBO_2024-06-22_tug_211_aisData.csv
미,"E,미",ES ROSE,,PAL,KAL,,2024-06-22T11:51:36.000Z,2024-06-22T12:35:36.000Z,0.2,4.0,4.2,39.0,,5589,석유제품 운반선,2024-06-22T11:30:00.000Z,2024-06-22T10:30:00.000Z,PAL,KAL,E미,,뉴월미호_ES ROSE_2024-06-22_target_212_aisData.csv,뉴월미호_ES ROSE_2024-06-22_tug_212_aisData.csv
M,M,STARSHIP DRACO,연안부두정계지,ICT1,PAL,연안부두정계지,2024-06-22T10:09:37.000Z,2024-06-22T10:41:37.000Z,4.9,16.0,2.9,27.0,,18354,풀컨테이너선,2024-06-22T10:30:00.000Z,2024-06-22T12:00:00.000Z,ICT1,PAL,M,,뉴마스호_STARSHIP DRACO_2024-06-22_target_213_aisData.csv,뉴마스호_STARSHIP DRACO_2024-06-22_tug_213_aisData.csv
T,T,LINA,,SAMPYO,PAL,연안부두정계지,2024-06-22T15:17:37.000Z,2024-06-22T16:07:37.000Z,12.3,59.0,3.3,45.0,,6983,산물선(벌크선),2024-06-22T16:00:00.000Z,2024-06-22T16:00:00.000Z,SAMPYO,PAL,T,,대창호_LINA_2024-06-22_target_214_aisData.csv,대창호_LINA_2024-06-22_tug_214_aisData.csv
Z,Z,XIN XIANG XUE LAN,연안부두정계지,PAL,NIPT5,연안부두정계지,2024-06-22T11:05:37.000Z,2024-06-22T11:15:37.000Z,9.7,39.0,0.9,5.0,RW,32729,국제카페리,2024-06-22T10:30:00.000Z,2024-06-22T10:30:00.000Z,PAL,NIPT5,Z,,대성호_XIN XIANG XUE LAN_2024-06-22_target_215_aisData.csv,대성호_XIN XIANG XUE LAN_2024-06-22_tug_215_aisData.csv
미,"W,미",MS GRACE,,PAL,N-HOB,연안부두정계지,2024-06-22T13:39:36.000Z,2024-06-22T14:24:36.000Z,5.4,24.0,4.1,40.0,BC,4060,석유제품 운반선,2024-06-22T12:30:00.000Z,2024-06-22T11:30:00.000Z,PAL,N-HOB,W미,,뉴월미호_MS GRACE_2024-06-22_target_216_aisData.csv,뉴월미호_MS GRACE_2024-06-22_tug_216_aisData.csv
T,"R,T",MOUNT RAINIER,연안부두정계지,N22,DONG,,2024-06-22T14:11:37.000Z,2024-06-22T14:33:37.000Z,18.4,86.0,2.0,17.0,JJ,19887,일반화물선,2024-06-22T14:00:00.000Z,2024-06-22T14:00:00.000Z,N22,DONG,RT,,대창호_MOUNT RAINIER_2024-06-22_target_217_aisData.csv,대창호_MOUNT RAINIER_2024-06-22_tug_217_aisData.csv
N,"성,N",KOREA VISION,,E1GT,BUKJ2,,2024-06-22T15:58:37.000Z,2024-06-22T16:16:37.000Z,20.9,601.0,0.0,13.0,OS,3872,LPG 운반선,2024-06-22T16:00:00.000Z,2024-06-22T07:00:00.000Z,BUKJ2,E1GT,IK,SC,뉴엔젤호_KOREA VISION_2024-06-22_target_218_aisData.csv,뉴엔젤호_KOREA VISION_2024-06-22_tug_218_aisData.csv
