배정예선,선박명,작업 시작지,작업 종료지,스케줄 시작 시각,도선사,톤수
H,HUADONG PEARL 8,PAL,NIPT5,2024-06-12T08:30:00.000Z,,35092
"L,I",SITC ZHEJIANG,NPPS,HJIT1,2024-06-12T07:00:00.000Z,JH,17119
"H,Z",BRAVE OCEAN,W10,SKI 2,2024-06-12T07:00:00.000Z,CH,26328
F3,WAN HAI 317,SNCT1,NPPS,2024-06-12T06:30:00.000Z,HY,27800
"Q,진",XINHAI788,PAL,23,2024-06-12T03:30:00.000Z,GJ,2992
"미,R",DOOLA #7,PAL,N-HOB,2024-06-12T02:20:00.000Z,,6402
"Z,T",Torm Cavatina,JANG,SKI 1,2024-06-12T16:30:00.000Z,,27061
"W,Q",NO.8 SJ GAS,SKI 1,PAL,2024-06-12T12:00:00.000Z,,2981
"R,M",MORNING VICTORY,PAL,RHC,2024-06-12T19:30:00.000Z,,5222
M,MORNING NURI,RHC,PAL,2024-06-12T18:00:00.000Z,,5222
"S,O",WOOLIM 7,PAL,SKI 4,2024-06-12T10:00:00.000Z,,8072
"I,L",CNC MARS,NPPS,SNCT3,2024-06-12T17:00:00.000Z,,18652
미,GRAND MUSE,PAL,N21,2024-06-12T09:00:00.000Z,,1514
"L,I",HEUNG-A HAIPHONG,NPPS,HJIT3,2024-06-12T18:00:00.000Z,,9960
"S,미",TY XU RUI,PAL,N21,2024-06-13T03:00:00.000Z,CG,8393
"L,K",CNC MARS,SNCT3,NPPS,2024-06-13T03:00:00.000Z,SK,18652
"L,I",WAN HAI293,NPPS,SNCT2,2024-06-13T00:30:00.000Z,HY,20918
"D,C",MSC BREMERHAVEN V,ICT2,PAL,2024-06-13T10:00:00.000Z,,49447
"K,성",AN DONG 68,NPPS,SNCT2,2024-06-13T19:00:00.000Z,,3988
진,XINHAI788,23,PAL,2024-06-13T17:00:00.000Z,,2992
"A,J",KOREA VENUS,GS-HD,PAL,2024-06-13T08:30:00.000Z,,39543
"미,W,윤,진",MASAKAZU,PAL,32,2024-06-13T15:00:00.000Z,,5543
"E,T",TS BANGKOK,PAL,ICT1,2024-06-13T07:30:00.000Z,,17449
"I,K",YA LU JIANG,SNCT1,NPPS,2024-06-13T07:00:00.000Z,,5250
"R,M",KEUN YANG,PAL,SSC,2024-06-13T06:30:00.000Z,,5996
S,FC GRACE,N-HOB,PAL,2024-06-13T06:00:00.000Z,,4960
"해,진",GLORY STAR,52,PAL,2024-06-13T23:00:00.000Z,,4562
"성,I",PACIFIC CARRIER,NPPS,HJIT1,2024-06-13T21:00:00.000Z,,9940
"W,S",DL AMBER,W12,SKI 3,2024-06-13T11:00:00.000Z,,7333
E,JA YANG,HIDC,PAL,2024-06-13T19:00:00.000Z,,4739
R,BIRYONG,PAL,NIPT2,2024-06-13T09:30:00.000Z,,14614
H,WEAVER ARROW,N12,PAL,2024-06-13T18:00:00.000Z,,36008
"F3,G",BRAVE OCEAN,SKI 2,DONG,2024-06-13T16:00:00.000Z,,26328
"A,N",WOO CHAN,PAL,SOD1,2024-06-13T08:00:00.000Z,,8539
"Q,W",KEOJE YUBIA,PAL,GSD,2024-06-13T13:00:00.000Z,,1996
성,SUNNY ROSE,HJIT3,NPPS,2024-06-13T07:00:00.000Z,,9865
진,XINXIWANGMINGYUAN,25,PAL,2024-06-13T07:00:00.000Z,,2589
"S,O",WOOLIM 7,SKI 4,PAL,2024-06-13T06:00:00.000Z,CN,8072
Q,WOO LIM 5,SOD1,PAL,2024-06-13T05:30:00.000Z,,8072
"O,E",XIN YU JIN XIANG,PAL,NIPT6,2024-06-13T22:00:00.000Z,,12304
"B,T",EVER OBEY,PAL,ICT2,2024-06-13T20:00:00.000Z,,27025
"윤,해,동",SEAWAYS TITAN,65,DONG,2024-06-13T12:00:00.000Z,,29305
M,XIN XIANG XUE LAN,PAL,NIPT5,2024-06-13T10:30:00.000Z,,32729
